text,label,lang,channel,family,template,source,split
Nexttel: your account will be suspended within 24h due to unusual activity. Verify your PIN now at http://mtn-momo-verif.tk,1,en,sms,momo_suspension,p2,synthetic,train
Camtel: your account will be suspended within 1 heure due to unusual activity. Verify your PIN now at http://orange-cm-verify.link,1,en,sms,momo_suspension,p2,synthetic,train
Nexttel: your account will be suspended within 24h due to unusual activity. Verify your PIN now at http://impots-cm.live,1,en,sms,momo_suspension,p2,synthetic,train
Camtel: your account will be suspended within 24h due to unusual activity. Verify your PIN now at http://cnps-remboursement.site,1,en,sms,momo_suspension,p2,synthetic,train
Orange Money: your account will be suspended within 12h due to unusual activity. Verify your PIN now at http://orange-money-secure.ga,1,en,sms,momo_suspension,p2,synthetic,train
Orange Money: your account will be suspended within 48h due to unusual activity. Verify your PIN now at http://eneo-paiement.online,1,en,sms,momo_suspension,p2,synthetic,train
Nexttel: your account will be suspended within 2 heures due to unusual activity. Verify your PIN now at http://camtel-promo.click,1,en,sms,momo_suspension,p2,synthetic,train
Orange Money: your account will be suspended within 48h due to unusual activity. Verify your PIN now at http://impots-cm.live,1,en,sms,momo_suspension,p2,synthetic,train
Nexttel: your account go block for 48h. Enter your PIN for http://impots-cm.live make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange: your account go block for 24h. Enter your PIN for http://mtn-momo-verif.tk make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange Money: your account go block for 48h. Enter your PIN for http://camtel-promo.click make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Camtel: your account go block for 1 heure. Enter your PIN for http://orange-cm-verify.link make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
MTN MoMo: your account go block for 12h. Enter your PIN for http://dhl-cameroun-colis.info make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange Money: your account go block for 12h. Enter your PIN for http://bicec-update.online make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange Money: your account go block for 12h. Enter your PIN for http://orange-money-secure.ga make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange Money: your account go block for 2 heures. Enter your PIN for http://orange-money-secure.ga make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange: your account go block for 1 heure. Enter your PIN for http://mtn-momo-verif.tk make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Nexttel: your account go block for 48h. Enter your PIN for http://eneo-paiement.online make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
MTN: your account go block for 24h. Enter your PIN for http://cnps-remboursement.site make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Camtel: your account go block for 1 heure. Enter your PIN for http://momo-bonus.xyz make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Camtel: your account go block for 24h. Enter your PIN for http://camtel-promo.click make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Orange Money: your account go block for 12h. Enter your PIN for http://orange-cm-verify.link make e no block.,1,pcm,sms,momo_suspension,p3,synthetic,train
Service client Nexttel : un agent va vous appeler. Communiquez-lui le code à 6 chiffres reçu par SMS pour sécuriser votre compte.,1,fr,sms,pin_request,p4,synthetic,train
Service client Camtel : un agent va vous appeler. Communiquez-lui le code à 6 chiffres reçu par SMS pour sécuriser votre compte.,1,fr,sms,pin_request,p4,synthetic,train
Service client Orange : un agent va vous appeler. Communiquez-lui le code à 6 chiffres reçu par SMS pour sécuriser votre compte.,1,fr,sms,pin_request,p4,synthetic,train
Service client Orange Money : un agent va vous appeler. Communiquez-lui le code à 6 chiffres reçu par SMS pour sécuriser votre compte.,1,fr,sms,pin_request,p4,synthetic,train
Service client MTN : un agent va vous appeler. Communiquez-lui le code à 6 chiffres reçu par SMS pour sécuriser votre compte.,1,fr,sms,pin_request,p4,synthetic,train
Service client MTN MoMo : un agent va vous appeler. Communiquez-lui le code à 6 chiffres reçu par SMS pour sécuriser votre compte.,1,fr,sms,pin_request,p4,synthetic,train
"Bonjour, je suis agent Nexttel. Suite à une mise à jour, envoyez-moi votre code PIN et le code de confirmation que vous allez recevoir.",1,fr,whatsapp,pin_request,p5,synthetic,test
"Bonjour, je suis agent MTN MoMo. Suite à une mise à jour, envoyez-moi votre code PIN et le code de confirmation que vous allez recevoir.",1,fr,whatsapp,pin_request,p5,synthetic,test
"Bonjour, je suis agent MTN. Suite à une mise à jour, envoyez-moi votre code PIN et le code de confirmation que vous allez recevoir.",1,fr,whatsapp,pin_request,p5,synthetic,test
"Bonjour, je suis agent Orange. Suite à une mise à jour, envoyez-moi votre code PIN et le code de confirmation que vous allez recevoir.",1,fr,whatsapp,pin_request,p5,synthetic,test
"Bonjour, je suis agent Orange Money. Suite à une mise à jour, envoyez-moi votre code PIN et le code de confirmation que vous allez recevoir.",1,fr,whatsapp,pin_request,p5,synthetic,test
"Bonjour, je suis agent Camtel. Suite à une mise à jour, envoyez-moi votre code PIN et le code de confirmation que vous allez recevoir.",1,fr,whatsapp,pin_request,p5,synthetic,test
Camtel customer care: an agent will call you. Please give him the verification code you receive to keep your line active.,1,en,sms,pin_request,p6,synthetic,test
MTN customer care: an agent will call you. Please give him the verification code you receive to keep your line active.,1,en,sms,pin_request,p6,synthetic,test
Nexttel customer care: an agent will call you. Please give him the verification code you receive to keep your line active.,1,en,sms,pin_request,p6,synthetic,test
Orange customer care: an agent will call you. Please give him the verification code you receive to keep your line active.,1,en,sms,pin_request,p6,synthetic,test
MTN MoMo customer care: an agent will call you. Please give him the verification code you receive to keep your line active.,1,en,sms,pin_request,p6,synthetic,test
Orange Money customer care: an agent will call you. Please give him the verification code you receive to keep your line active.,1,en,sms,pin_request,p6,synthetic,test
Félicitations ! Votre numéro a gagné 50 000 FCFA à la tombola MTN. Envoyez 5 000 FCFA de frais de dossier au 6 77 88 99 00 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 5 000 FCFA à la tombola Orange. Envoyez 10 000 FCFA de frais de dossier au 6 55 44 33 22 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 15 500 FCFA à la tombola MTN. Envoyez 3 000 FCFA de frais de dossier au 6 98 76 54 32 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 10 000 FCFA à la tombola MTN. Envoyez 7 500 FCFA de frais de dossier au 6 55 44 33 22 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 25 000 FCFA à la tombola Camtel. Envoyez 7 500 FCFA de frais de dossier au 6 55 44 33 22 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 250 000 FCFA à la tombola MTN. Envoyez 2 500 FCFA de frais de dossier au 6 98 76 54 32 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 50 000 FCFA à la tombola Nexttel. Envoyez 2 500 FCFA de frais de dossier au 6 55 44 33 22 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 15 500 FCFA à la tombola Orange Money. Envoyez 10 000 FCFA de frais de dossier au 6 55 44 33 22 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 10 000 FCFA à la tombola Orange Money. Envoyez 2 500 FCFA de frais de dossier au 6 90 11 22 33 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 25 000 FCFA à la tombola Orange Money. Envoyez 3 000 FCFA de frais de dossier au 6 90 11 22 33 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 50 000 FCFA à la tombola Orange. Envoyez 2 500 FCFA de frais de dossier au 6 90 11 22 33 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 150 000 FCFA à la tombola Orange. Envoyez 2 500 FCFA de frais de dossier au 6 71 23 45 67 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 250 000 FCFA à la tombola Nexttel. Envoyez 2 500 FCFA de frais de dossier au 6 71 23 45 67 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
Félicitations ! Votre numéro a gagné 500 000 FCFA à la tombola MTN. Envoyez 10 000 FCFA de frais de dossier au 6 71 23 45 67 pour recevoir votre gain.,1,fr,sms,prize,p7,synthetic,train
"BRAVO Brenda ! Vous êtes le grand gagnant de 10 000 FCFA. Pour débloquer votre cadeau, payez 5 000 FCFA de frais via Nexttel.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Mireille ! Vous êtes le grand gagnant de 15 500 FCFA. Pour débloquer votre cadeau, payez 2 500 FCFA de frais via MTN.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Aïcha ! Vous êtes le grand gagnant de 500 000 FCFA. Pour débloquer votre cadeau, payez 2 500 FCFA de frais via Orange Money.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Fotso ! Vous êtes le grand gagnant de 10 000 FCFA. Pour débloquer votre cadeau, payez 3 000 FCFA de frais via MTN.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Serge ! Vous êtes le grand gagnant de 150 000 FCFA. Pour débloquer votre cadeau, payez 3 000 FCFA de frais via Nexttel.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Ngono ! Vous êtes le grand gagnant de 150 000 FCFA. Pour débloquer votre cadeau, payez 2 500 FCFA de frais via Camtel.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Serge ! Vous êtes le grand gagnant de 25 000 FCFA. Pour débloquer votre cadeau, payez 7 500 FCFA de frais via Nexttel.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Awa ! Vous êtes le grand gagnant de 5 000 FCFA. Pour débloquer votre cadeau, payez 5 000 FCFA de frais via Nexttel.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Serge ! Vous êtes le grand gagnant de 500 000 FCFA. Pour débloquer votre cadeau, payez 7 500 FCFA de frais via MTN.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Brenda ! Vous êtes le grand gagnant de 50 000 FCFA. Pour débloquer votre cadeau, payez 5 000 FCFA de frais via Orange.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Brenda ! Vous êtes le grand gagnant de 250 000 FCFA. Pour débloquer votre cadeau, payez 5 000 FCFA de frais via Orange.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Paul ! Vous êtes le grand gagnant de 1 000 000 FCFA. Pour débloquer votre cadeau, payez 2 500 FCFA de frais via Nexttel.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Fotso ! Vous êtes le grand gagnant de 250 000 FCFA. Pour débloquer votre cadeau, payez 10 000 FCFA de frais via MTN.",1,fr,sms,prize,p8,synthetic,train
"BRAVO Mbarga ! Vous êtes le grand gagnant de 10 000 FCFA. Pour débloquer votre cadeau, payez 10 000 FCFA de frais via MTN MoMo.",1,fr,sms,prize,p8,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the MTN anniversary draw. Send 7 500 FCFA processing fee to 6 98 76 54 32 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the Orange anniversary draw. Send 10 000 FCFA processing fee to 6 77 88 99 00 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 500 000 FCFA in the Orange anniversary draw. Send 3 000 FCFA processing fee to 6 98 76 54 32 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 75 000 FCFA in the Orange anniversary draw. Send 10 000 FCFA processing fee to 6 77 88 99 00 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 5 000 FCFA in the MTN MoMo anniversary draw. Send 3 000 FCFA processing fee to 6 90 11 22 33 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the Camtel anniversary draw. Send 3 000 FCFA processing fee to 6 71 23 45 67 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the MTN anniversary draw. Send 3 000 FCFA processing fee to 6 71 23 45 67 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 150 000 FCFA in the MTN anniversary draw. Send 10 000 FCFA processing fee to 6 90 11 22 33 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the MTN MoMo anniversary draw. Send 3 000 FCFA processing fee to 6 71 23 45 67 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the Camtel anniversary draw. Send 2 500 FCFA processing fee to 6 90 11 22 33 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 25 000 FCFA in the MTN MoMo anniversary draw. Send 2 500 FCFA processing fee to 6 71 23 45 67 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 500 000 FCFA in the Orange Money anniversary draw. Send 7 500 FCFA processing fee to 6 90 11 22 33 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 10 000 FCFA in the MTN MoMo anniversary draw. Send 5 000 FCFA processing fee to 6 77 88 99 00 to claim.,1,en,sms,prize,p9,synthetic,train
Congratulations! Your number won 1 000 000 FCFA in the Nexttel anniversary draw. Send 7 500 FCFA processing fee to 6 90 11 22 33 to claim.,1,en,sms,prize,p9,synthetic,train
Congrat! You don win 5 000 FCFA for Orange promo. Send 7 500 FCFA for 6 71 23 45 67 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 15 500 FCFA for MTN promo. Send 5 000 FCFA for 6 98 76 54 32 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 15 500 FCFA for Orange Money promo. Send 7 500 FCFA for 6 90 11 22 33 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 1 000 000 FCFA for Camtel promo. Send 3 000 FCFA for 6 77 88 99 00 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 500 000 FCFA for Nexttel promo. Send 10 000 FCFA for 6 90 11 22 33 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 15 500 FCFA for Orange promo. Send 10 000 FCFA for 6 77 88 99 00 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 150 000 FCFA for Camtel promo. Send 2 500 FCFA for 6 77 88 99 00 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 150 000 FCFA for Orange Money promo. Send 7 500 FCFA for 6 98 76 54 32 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 5 000 FCFA for Nexttel promo. Send 7 500 FCFA for 6 55 44 33 22 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 75 000 FCFA for Nexttel promo. Send 5 000 FCFA for 6 98 76 54 32 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 150 000 FCFA for Nexttel promo. Send 3 000 FCFA for 6 71 23 45 67 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 500 000 FCFA for MTN MoMo promo. Send 7 500 FCFA for 6 77 88 99 00 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 10 000 FCFA for MTN MoMo promo. Send 5 000 FCFA for 6 90 11 22 33 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
Congrat! You don win 5 000 FCFA for MTN promo. Send 7 500 FCFA for 6 55 44 33 22 make we release your money today.,1,pcm,whatsapp,prize,p10,synthetic,test
"Cher client SGBC, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://orange-money-secure.ga pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client Afriland First Bank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://dhl-cameroun-colis.info pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client SGBC, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://cnps-remboursement.site pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client Ecobank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://dhl-cameroun-colis.info pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client Ecobank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://mtn-cm.top pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client UBA Cameroun, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://orange-money-secure.ga pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client BICEC, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://orange-cm-verify.link pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client CCA Bank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://dhl-cameroun-colis.info pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client Ecobank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://bicec-update.online pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client BICEC, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://impots-cm.live pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client CCA Bank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://mtn-momo-verif.tk pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client CCA Bank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://camtel-promo.click pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client Afriland First Bank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://afriland-secure-login.com pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
"Cher client CCA Bank, une activité suspecte a été détectée sur votre compte. Connectez-vous immédiatement sur https://bicec-update.online pour éviter le blocage de votre carte.",1,fr,email,bank_login,p11,synthetic,train
Afriland First Bank - Dernier avertissement : mettez à jour vos informations bancaires sous 12h via http://eneo-paiement.online/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
UBA Cameroun - Dernier avertissement : mettez à jour vos informations bancaires sous 2 heures via http://cnps-remboursement.site/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
UBA Cameroun - Dernier avertissement : mettez à jour vos informations bancaires sous 48h via http://orange-cm-verify.link/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
CCA Bank - Dernier avertissement : mettez à jour vos informations bancaires sous 48h via http://mtn-cm.top/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
Ecobank - Dernier avertissement : mettez à jour vos informations bancaires sous 1 heure via http://camtel-promo.click/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
BICEC - Dernier avertissement : mettez à jour vos informations bancaires sous 24h via http://camtel-promo.click/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
CCA Bank - Dernier avertissement : mettez à jour vos informations bancaires sous 24h via http://mtn-cm.top/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
Afriland First Bank - Dernier avertissement : mettez à jour vos informations bancaires sous 48h via http://impots-cm.live/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
Ecobank - Dernier avertissement : mettez à jour vos informations bancaires sous 2 heures via http://momo-bonus.xyz/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
UBA Cameroun - Dernier avertissement : mettez à jour vos informations bancaires sous 24h via http://dhl-cameroun-colis.info/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
CCA Bank - Dernier avertissement : mettez à jour vos informations bancaires sous 1 heure via http://momo-bonus.xyz/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
Ecobank - Dernier avertissement : mettez à jour vos informations bancaires sous 48h via http://cnps-remboursement.site/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
CCA Bank - Dernier avertissement : mettez à jour vos informations bancaires sous 1 heure via http://impots-cm.live/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
UBA Cameroun - Dernier avertissement : mettez à jour vos informations bancaires sous 2 heures via http://mtn-momo-verif.tk/maj sinon votre compte sera fermé.,1,fr,email,bank_login,p12,synthetic,test
"Dear SGBC customer, your card has been temporarily limited. Restore access by confirming your details at https://mtn-cm.top/secure",1,en,email,bank_login,p13,synthetic,train
"Dear Ecobank customer, your card has been temporarily limited. Restore access by confirming your details at https://dhl-cameroun-colis.info/secure",1,en,email,bank_login,p13,synthetic,train
"Dear CCA Bank customer, your card has been temporarily limited. Restore access by confirming your details at https://bicec-update.online/secure",1,en,email,bank_login,p13,synthetic,train
"Dear SGBC customer, your card has been temporarily limited. Restore access by confirming your details at https://bicec-update.online/secure",1,en,email,bank_login,p13,synthetic,train
"Dear CCA Bank customer, your card has been temporarily limited. Restore access by confirming your details at https://impots-cm.live/secure",1,en,email,bank_login,p13,synthetic,train
"Dear UBA Cameroun customer, your card has been temporarily limited. Restore access by confirming your details at https://eneo-paiement.online/secure",1,en,email,bank_login,p13,synthetic,train
"Dear BICEC customer, your card has been temporarily limited. Restore access by confirming your details at https://cnps-remboursement.site/secure",1,en,email,bank_login,p13,synthetic,train
"Dear Ecobank customer, your card has been temporarily limited. Restore access by confirming your details at https://eneo-paiement.online/secure",1,en,email,bank_login,p13,synthetic,train
